Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
ALLUE03__0__20210426_205940.wav;205940.wav;20;20;Bosque;ACI;3011,55;;;;;
ALLUE03__0__20210426_230940.wav;230940.wav;23;23;Bosque;ACI;3020,37;;;;;
ALLUE03__0__20210427_011940.wav;011940.wav;01;1;Bosque;ACI;3003,53;;;;;
ALLUE03__0__20210427_032940.wav;032940.wav;03;3;Bosque;ACI;2980,15;;;;;
ALLUE03__0__20210427_053940.wav;053940.wav;05;5;Bosque;ACI;3001,55;;;;;
ALLUE03__0__20210427_074940.wav;074940.wav;07;7;Bosque;ACI;3007,31;;;;;
ALLUE03__0__20210427_095940.wav;095940.wav;09;9;Bosque;ACI;3022,83;;;;;
ALLUE03__0__20210427_120940.wav;120940.wav;12;12;Bosque;ACI;3007,11;;;;;
ALLUE03__0__20210427_141940.wav;141940.wav;14;14;Bosque;ACI;3009,55;;;;;
ALLUE03__0__20210427_162940.wav;162940.wav;16;16;Bosque;ACI;3013,20;;;;;
ALLUE03__0__20210427_183940.wav;183940.wav;18;18;Bosque;ACI;3026,17;;;;;
ALLUE03__0__20210427_204940.wav;204940.wav;20;20;Bosque;ACI;3041,71;;;;;
ALLUE03__0__20210427_225940.wav;225940.wav;22;22;Bosque;ACI;3029,88;;;;;
ALLUE03__0__20210428_010940.wav;010940.wav;01;1;Bosque;ACI;3026,84;;;;;
ALLUE03__0__20210428_031940.wav;031940.wav;03;3;Bosque;ACI;2992,55;;;;;
ALLUE03__0__20210428_052940.wav;052940.wav;05;5;Bosque;ACI;3006,76;;;;;
ALLUE03__0__20210428_073940.wav;073940.wav;07;7;Bosque;ACI;3007,58;;;;;
ALLUE03__0__20210428_094940.wav;094940.wav;09;9;Bosque;ACI;3006,09;;;;;
ALLUE03__0__20210428_115940.wav;115940.wav;11;11;Bosque;ACI;3003,46;;;;;
ALLUE03__0__20210428_140940.wav;140940.wav;14;14;Bosque;ACI;3004,69;;;;;
ALLUE03__0__20210428_161940.wav;161940.wav;16;16;Bosque;ACI;3070,29;;;;;
ALLUE03__0__20210428_182940.wav;182940.wav;18;18;Bosque;ACI;3010,36;;;;;
ALLUE03__0__20210428_203940.wav;203940.wav;20;20;Bosque;ACI;3018,63;;;;;
ALLUE03__0__20210428_224940.wav;224940.wav;22;22;Bosque;ACI;3026,59;;;;;
CACAO-__0__20191121_145531.wav;145531.wav;14;14;Marino;ACI;3935,60;;;;;
CACAO-__0__20191121_170531.wav;170531.wav;17;17;Marino;ACI;3145,48;;;;;
CACAO-__0__20191121_191531.wav;191531.wav;19;19;Marino;ACI;2999,06;;;;;
CACAO-__0__20191121_212531.wav;212531.wav;21;21;Marino;ACI;3034,87;;;;;
CACAO-__0__20191121_233531.wav;233531.wav;23;23;Marino;ACI;3063,44;;;;;
CACAO-__0__20191122_014531.wav;014531.wav;01;1;Marino;ACI;3087,19;;;;;
CACAO-__0__20191122_035531.wav;035531.wav;03;3;Marino;ACI;3131,71;;;;;
CACAO-__0__20191122_060531.wav;060531.wav;06;6;Marino;ACI;3180,30;;;;;
CACAO-__0__20191122_081531.wav;081531.wav;08;8;Marino;ACI;3503,04;;;;;
CACAO-__0__20191122_102531.wav;102531.wav;10;10;Marino;ACI;3503,42;;;;;
CACAO-__0__20191122_123531.wav;123531.wav;12;12;Marino;ACI;4062,94;;;;;
CACAO-__0__20191122_144531.wav;144531.wav;14;14;Marino;ACI;3165,17;;;;;
CACAO-__0__20191122_165531.wav;165531.wav;16;16;Marino;ACI;3267,65;;;;;
CACAO-__0__20191122_190531.wav;190531.wav;19;19;Marino;ACI;3294,25;;;;;
CACAO-__0__20191122_211531.wav;211531.wav;21;21;Marino;ACI;3075,29;;;;;
CACAO-__0__20191122_232531.wav;232531.wav;23;23;Marino;ACI;3093,43;;;;;
CACAO-__0__20191123_013531.wav;013531.wav;01;1;Marino;ACI;3097,24;;;;;
CACAO-__0__20191123_034531.wav;034531.wav;03;3;Marino;ACI;3074,93;;;;;
